#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
11200,IMPUESTO SOBRE BIENES INMUEBLES.  NAT RUSTICA,70000,0,70000,46167.94
11300,IMPTO SOBRE BIENES INMUEBLES DE NAT URBANA,17779161.25,0,17779161.25,17925775.33
11500,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA,3600000,0,3600000,3454231.94
11601,IMPUESTO SOBRE INCREM DEL VALOR DE LOS TERRN DE NAT URBANA,1000000,0,1000000,1960186.4
13001,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2500000,0,2500000,2259907.61
30100,TASA POR DEPURACION DE AGUAS,358177.41,0,358177.41,-5150.44
30200,TASA SERVICIO INTEGRAL RESIDUOS Y P.VERDE,3550000,0,3550000,3357260.16
32300,INSPECCION TECNICA LICENCIA DE APERTURA,25000,0,25000,25950.41
32600,RETIRADA VEHICULOS VIA PUBLICA (GRUA),45065,0,45065,26470
33800,COMPENSACION DE TELEFONICA DE ESPAÑA S.A.,212000,0,212000,156005.21
39300,INTERESES DE DEMORA,250000,0,250000,453815.12
45000,DE LA ADMON. GENERAL DE LA COMUNIDAD DE MADRID,1118710,8495,1127205,956939.15
49000,DEL FONDO SOCIAL EUROPEO,125839,0,125839,16942.2
51800,INTERESES PRESTAMO PERSONAL,508.31,0,508.31,0
52000,INTERESES EN CTAS.BANCOS Y CAJAS DE AHORRO,8000,0,8000,2115.98
54100,ARRENDAMIENTOS DE FINCAS URBANAS,550000,0,550000,421392.44
54200,ARRENDAMIENTOS DE FINCAS RUSTICAS,10000,0,10000,0
55000,CONCESIONES ADMINISTRATIVAS,539031.66,0,539031.66,439954.62
60100,VENTA DE FINCAS RUSTICAS,0,0,0,0
60300,PATRIMONIO PUBLICO DEL SUELO,2616368.83,0,2616368.83,0
61900,ENAJENACIONES PLAZAS DE GARAJES MPLES,0,0,0,0
61901,ENAJENACIONES  DE VIVIENDAS Y LOCALES,0,0,0,0
77000,TRANSFERENCIA CAPITAL EMPRESAS  Y ENTIDADES  PRIVADAS,0,0,0,0
11600,INSPECCION PLUS VALIAS,55000,0,55000,389.3
13000,INSPECCION I.A.E.,350000,0,350000,271588.41
29000,IMPTO.S/CONSTRUCCIONES Y OBRAS,936896.12,0,936896.12,268702.91
29001,INSPECCION I.C.I.O.,107320.04,0,107320.04,10841.64
30500,SERVICIOS FUNERARIOS,0,0,0,8865
31100,TASA SERVICIO AMBULANCIA MUNICIPAL,30000,0,30000,31609.98
31108,SERVICIO DE AYUDA A DOMICILIO,41941.8,0,41941.8,15586.97
31301,TASA POR DERECHOS DE FUTBOL,45000,0,45000,17182.8
31304,INSTALACIONES DEPORTIVAS,251000,0,251000,161283.42
31407,TASA SERVICIO SANITARIO DE PERRERA MUNICIPAL,9500,0,9500,9488.18
32100,LICENCIAS URBANISTICAS,200000,0,200000,140175.95
32104,LICENCIA APERTURA ESTABLECIMIENTOS,300000,0,300000,304230.05
32105,"INSPECCION L.URB.,APERTURA Y OCUPACION",0,0,0,0
32106,TASA POR INSPECCION TECNICA DE DIFICIOS,28409.76,0,28409.76,2252.4
32200,LICENCIAS PRIMERA OCUPACION,30000,0,30000,17442.71
32500,EXPEDICION DE DOCUMENTOS,35000,0,35000,36029.25
32501,LICENCIAS AUTOTAXIS Y VEHICULOS ALQUILER,0,0,0,0
32502,TASA POR EXPEDICION Y RENOVACION TARJETAS TRANSPORTE,40000,0,40000,33709.2
32509,TASA POR DERECHOS DE EXAMEN,0,0,0,-40.18
32700,TASA PRE. SERVI. BODAS.,38000,0,38000,22810.26
32901,PLAC.PATEN.DISTIN.UTILIZ.ESCUDO ENTIDAD,5000,0,5000,2187.9
33001,APARCAMIENTO DE CAMIONES,80000,0,80000,75946.98
33002,PARKING MUNICIPAL,34847.31,0,34847.31,30913.35
33003,TASA POR ESTACIONAMIENTO ZONA SER,0,0,0,0
33101,ENTR.VEHIC.EN EDIF.Y RES.APAR.EXCLUSIVO,690000,0,690000,662186.1
33203,TASA EMPRESAS EXPLT. DE SUMINISTROS INTERES GENERAL,1000000,0,1000000,1029267.2
33300,TASA EMPRESAS EXPLT. DE SER. TELECOMUNICACIONES,29536.43,0,29536.43,0
33402,CALICATAS Y ZANJAS EN LA VIA PUBLICA.,29566.69,0,29566.69,4869.93
33500,"OCUPACION VIA PUBLICA CON MESAS,SILLAS ETC.",100000,0,100000,75768.39
33501,QUIOSCOS Y CRISTALES EN LA VIA PUBLICA,20000,0,20000,23997.41
33502,TASA POR BARRACAS Y PUESTOS FERIANTES,33000,0,33000,29306.85
33601,OCUPACION DE LA VIA PUBLICA CON MERCANCIA,7000,0,7000,7137.44
