#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
75000,DE LA ADMON.GENERAL DE LA COMUNIDAD AUTONOMA,0,0,0,0
91101,PRESTAMO RDL 4/2012,0,258793.82,258793.82,69850585.91
11200,DE NATURALEZA RUSTICA,10500,0,10500,59827.67
11300,DE NATURALEZA URBANA,16112000,0,16112000,16330724.25
11500,IMPUESTO VEHICULOS DE TRACCION MECANICA,3500000,0,3500000,3456591.17
11601,IMPUESTO INCREM.VALOR TERRENOS NAT.URBANA,1000000,0,1000000,1317249.07
11600,INSPECCION PLUS VALIAS,188000,0,188000,1026.73
13001,IMPUESTOS SOBRE ACTIVIDADES ECONOMICAS,2300000,0,2300000,2083895.83
13000,INSPECCION I.A.E.,600000,0,600000,222697.67
29002,IMPUESTO CONSTRUC.INSTALACIONES Y OBRAS,0,0,0,939.55
29000,IMPTO.S/CONSTRUCCIONES Y OBRAS,1708000,0,1708000,740327.93
29001,INSPECCION I.C.I.O.,200000,0,200000,108939.75
30100,TASA POR DEPURACION DE AGUAS,260000,0,260000,273171.56
30200,TASA SERVICIO INTEGRAL RESIDUOS Y P.VERDE,3700000,0,3700000,3525007.72
30500,SERVICIOS FUNERARIOS,275000,0,275000,260436.71
31100,TASA SERVICIO AMBULANCIA MUNICIPAL,18500,0,18500,15297.36
31108,SERVICIO DE AYUDA A DOMICILIO,90000,0,90000,83469.75
31301,TASA POR DERECHOS DE FUTBOL,18000,0,18000,15943.74
31304,INSTALACIONES DEPORTIVAS,250000,0,250000,94165.75
31407,TASA SERVICIO SANITARIO DE PERRERA MUNICIPAL,8500,0,8500,9709.37
32100,LICENCIAS URBANISTICAS,427000,0,427000,313055.58
32104,LICENCIA APERTURA ESTABLECIMIENTOS,797000,0,797000,314884.35
32105,"INSPECCION L.URB.,APERTURA Y OCUPACION",25000,0,25000,0
32106,TASA POR INSPECCION TECNICA DE DIFICIOS,75000,0,75000,12667.88
32200,LICENCIAS PRIMERA OCUPACION,68000,0,68000,22093.82
32500,EXPEDICION DE DOCUMENTOS,26000,0,26000,26130.28
32501,LICENCIAS AUTOTAXIS Y VEHICULOS ALQUILER,0,0,0,0
32509,TASA POR DERECHOS DE EXAMEN,0,0,0,0
32600,RETIRADA VEHICULOS VIA PUBLICA (GRUA),68000,0,68000,37570
32700,TASA PRE. SERVI. BODAS.,20000,0,20000,20872.26
32901,PLAC.PATEN.DISTIN.UTILIZ.ESCUDO ENTIDAD,0,0,0,1726.35
33600,TASA POR APROVECHAMIENT DEL DOMINIO PUBLICO,0,0,0,0
33003,TASA POR ESTACIONAMIENTO DE VEHICULOS,0,0,0,0
33001,APARCAMIENTO DE CAMIONES,96000,0,96000,78566.98
33002,PARKING MUNICIPAL,35000,0,35000,55349.45
33101,ENTR.VEHIC.EN EDIF.Y RES.APAR.EXCLUSIVO,670000,0,670000,665374.52
33203,TASA EMPRESAS EXPLT. DE SUMINISTROS INTERES GENERAL,1500000,0,1500000,949805.95
33300,TASA EMPRESAS EXPLT. DE SER. TELECOMUNICACIONES,285000,0,285000,17061.42
33402,CALICATAS Y ZANJAS EN LA VIA PUBLICA.,42000,0,42000,12757.35
33500,"OCUPACION VIA PUBLICA CON MESAS,SILLAS ETC.",65000,0,65000,86103.08
33501,QUIOSCOS Y CRISTALES EN LA VIA PUBLICA,10000,0,10000,17778.54
33502,TASA POR BARRACAS Y PUESTOS FERIANTES,50000,0,50000,34929.97
33601,OCUPACION DE LA VIA PUBLICA CON MERCANCIA,11000,0,11000,3137.2
33602,TASA POR MERCADILLOS AMBULANTES,45000,0,45000,55622.75
33603,OCUPACION VIA PUBLICA CONTENEDORES,18000,0,18000,9629.67
33604,OTRAS OCUPACIONES,25000,0,25000,7661.48
