#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
0,11,91000,AMORT DE PRESTAMOS A C/P RDL 4/2012,0,0,0,0
0,11,31000,INTERESES DE PRESTAMOS DEUDA PUBLICA.,1013498.01,0,1013498.01,1013498.01
0,11,912,AMORTIZACION PRESTAMOS CORTO PLAZO,2989038.35,0,2989038.35,2989038.35
0,132,609,OTRAS INVERS NUEVAS E INFRAEST Y BIENES DEST AL USO GENERAL,0,0,0,0
0,132,12000,SUELDOS GRUPO A1 SEGURIDAD,14677.32,0,14677.32,14176.67
0,132,12001,SUELDOS GRUPO A2 SEGURIDAD,12906.52,0,12906.52,12207.14
0,132,12002,SUELDOS GRUPO B SEGURIDAD,0,0,0,0
0,132,12003,SUELDOS GRUPO C1 SEGURIDAD,39539.36,0,39539.36,37050.16
0,132,12004,SUELDOS GRUPO C2 SEGURIDAD,779227.91,0,779227.91,718689.32
0,132,12005,SUELDOS GRUPO E SEGURIDAD,0,0,0,0
0,132,12006,TRIENIOS FUNC. SEGURIDAD,113370.88,0,113370.88,99702.45
0,132,12100,COMPLEM.DESTINO SEGURIDAD,510266.44,0,510266.44,533992.74
0,132,12101,COMPLEM. ESPECIFICO SEGURIDAD,1470845.98,0,1470845.98,1302155.51
0,132,12103,OTROS COMPLEM.FUNC. SEGURIDAD,154362.51,0,154362.51,142514.56
0,132,122,RETRIB.ESPECIE SEGURIDAD,864,0,864,270
0,132,13000,R.B. L.F. SEGURIDAD,209961.22,7045.52,217006.74,189975.37
0,132,13001,HORAS EXTRAS L.F. SEGURIDAD,0,0,0,0
0,132,13002,O.R. L.F. SEGURIDAD,25338.74,0,25338.74,24336.6
0,132,15000,PRODUCT. FUNC.SEGURIDAD,507097.56,23775,530872.56,508922.65
0,132,15100,GRATIFICACIONES F. SEGURIDAD,380.64,0,380.64,49.4
0,132,15101,GRATIFICACIONES L.F. SEGURIDA,0,0,0,0
0,132,15300,DEDICACION FUNC. SEGURIDAD,0,0,0,0
0,132,15301,DEDICACION LAB. SEGURIDAD,0,0,0,0
0,132,204,ARRENDA.MAT. TRANSPORTE SEGURIDAD,18000,0,18000,14339.29
0,132,212,EDIF. Y OTRAS CONSTRUCC. SEGURIDAD,1000,0,1000,0
0,132,213,MAQ.INST. Y UTI. SEGURIDAD,3000,0,3000,3425.46
0,132,214,ELEMENTOS DE TRANSPORTE SEGURIDAD,0,0,0,137.89
0,132,215,MOBILIARIO SEGURIDAD,2000,0,2000,0
0,132,22000,MAT.  OFICINA SEGURIDAD,3000,0,3000,0
0,132,22001,PRENSA LI. Y O. PUBLI. SEGURIDAD,0,0,0,0
0,132,22002,MAT.INFOR.NO INVENTARIABLE SEGURIDAD,3000,0,3000,188.32
0,132,22003,MAT. TEC. ESPE. NO INVENTARIABLE SEGURIDAD,3000,0,3000,698.57
0,132,22100,ENERGIA ELECTRICA SEGURIDAD,123388.88,16260.62,139649.5,142476.12
0,132,22101,AGUA SEGURIDAD,1000,0,1000,789.77
0,132,22102,GAS SEGURIDAD,6000,0,6000,5803.57
0,132,22104,VESTUARIO SEGURIDAD,85000,-63775,21225,36396.78
0,132,22105,PRODUCTOS ALIMENTICIOS,0,0,0,650.48
0,132,225,TRIBUTOS  SEGURIDAD,1200,0,1200,0
0,132,22601,ATENC. PROTO Y REPRE. SEGURIDAD,8000,0,8000,817.85
0,132,22606,"REUNIONES, CONFERENCIAS Y CURSOS SEGURIDAD",1500,0,1500,0
0,132,22701,SEGURIDAD SEGURIDAD,30000,6972.11,36972.11,22746.76
0,132,22706,ESTUD. Y TRABA. TECN. SEGURIDAD,51000,0,51000,42056.19
0,132,23020,DEL PERSONAL SEGURIDAD,1000,0,1000,0
0,132,23120,DEL PERSONAL NO DIRECTIVO,1000,0,1000,0
0,132,240,GASTOS DE EDICION Y DISTRIBUCION SEGURIDAD,0,0,0,0
0,132,481,PREMIOS BECAS Y PENS.DE ESTU. SEGURIDAD,0,0,0,0
0,132,623,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",0,11329.46,11329.46,0
0,133,13000,R.B.L.F. ORDENACION DEL TRAFICO Y DEL ESTACIONAMIENTO,176378.21,-87816.73,88561.48,82968.03
0,133,13001,HORAS EXTRAS ORDENCION DEL TRAFICO Y DEL ESTACIONAMIENTO,10503.48,0,10503.48,2219.52
0,133,13002,O.R. L.F ORDENACION DEL TRAFICO Y DEL ESTACIONAMIENTO,11635.64,0,11635.64,28403.98
0,133,131,LABORAL TEMPORAL ORDENACION DEL TRAFICO Y DEL ESTACIONAMIENT,23377.96,0,23377.96,0
0,133,210,INFRA. Y BIENES NATU. ORDENAC.  DEL TRAFICO Y ESTACIONAMIEN.,110436.06,-10000,100436.06,0
0,133,22199,OTROS SUMINISTROS ORDENACION DEL TRAFICO Y ESTACIONAMIENTO,750,0,750,0
0,133,22601,ATENC. PROTO Y REPRESENT. ORDENACION DEL TRAFICO Y ESTACIONA,750,0,750,0
0,133,22706,ESTUDIOS Y TRABAJOS TECNICOS,3000,0,3000,5793.54
0,133,62302,INSTALACION CAMARAS VIGILANCIA TRAFICO (P5000),0,0,0,0
0,133,62303,ADECUAC.SALA CONTROL MOVILIDAD TRAFICO (P5000),0,0,0,0
0,134,224,PRIMAS DE SEGUROS PROTECCION CIVIL,6000,0,6000,6531.81
0,134,213,"MAQUINARIA, INSTALACIONES Y UTILLAJE",0,0,0,0
0,134,22003,MAT.TEC.ESPE.NO. INVENTA.PROTECCION CIVIL.,0,0,0,0
0,134,22104,VESTUARIO PROTECCION CIVIL,10000,0,10000,2233.15
0,134,22105,PRODUCTOS ALIMENTICIOS PROTECCION CIVIL,5000,0,5000,0
0,134,22111,SUMIN. DE REPUES. DE MAQ. UTI. ELEM. TPTE. PROTECCION CIVIL,4000,0,4000,0
0,134,22112,"SUMIN. DE MAT., ELECTRO., ELECT. Y DE TELEC.. PROTEC. CIVIL",2000,0,2000,0
0,134,22500,TRIBUTOS ESTATALES PROTECCION CIVIL,0,0,0,240
0,134,22601,ATENCIONES PROTOCOLARIAS Y PRESENTATIVAS,0,0,0,0
0,134,22699,OTROS GASTOS DIVERSOS,2500,0,2500,0
0,134,23020,DEL PERSONAL NO DIRECTIVO,0,0,0,0
0,134,23120,DEL PERSONAL NO DIRECTIVO,0,0,0,0
0,134,489,OTRAS TRANSFERENCIAS PROTECCION CIVIL,0,0,0,0
0,135,352,INTERESES DE DEMORA SERVICIO EXTINCIÓN INCENDIOS,0,2637,2637,2637
0,135,22501,TRIBUTOS CAM SERVICIO DE EXTINCION DE INCENDIOS,3742746.4,-212637,3530109.4,1925876.43
0,135,35200,INTERESES DE DEMORA SERVICO DE EXTINCION DE INCENDIOS,222088.38,0,222088.38,222088.38
0,135,622,EDIFICIOS Y OTRAS CONSTRUCCIONES,0,0,0,0
0,151,23120,LOCOMOCION PERSONAL URBANISMO,500,0,500,0
0,151,12000,SUELDOS GRUPO A1 URBANISMO,29354.64,0,29354.64,27985.92
0,151,12001,SUELDOS GRUPO A2 URBANISMO,0,0,0,0
0,151,12002,SUELDOS GRUPO B URBANISMO,0,0,0,0
0,151,12003,SUELDOS GRUPO C1 URBANISMO,9884.84,0,9884.84,9238.54
0,151,12004,SUELDOS GRUPO C2 URBANISMO,16757.16,0,16757.16,15569.58
0,151,12005,SUELDOS GRUPO E URBANISMO,7678.58,0,7678.58,4515.74
0,151,12006,TRIENIOS FUNC. URBANISMO,20376.67,0,20376.67,17556.18
0,151,12100,COMPLEM. DESTINO URBANISMO,55520.64,0,55520.64,37971.53
0,151,12101,COMPLEM. ESPEDIFICO URBANISMO,79480.24,0,79480.24,46543.94
0,151,12103,OTROS COMPLEM. FUNC. URBANISMO,8162.76,0,8162.76,6084
0,151,122,RETRIB. ESPECIE URBANISMO,0,0,0,0
0,151,13000,R.B. L.F. URBANISMO,1076126.43,40781.5,1116907.93,992375.18
0,151,13001,HORAS EXTRAS L.F. URBANISMO,0,0,0,0
0,151,13002,O.R. L.F. URBANISMO,72049.92,0,72049.92,74308.16
0,151,131,R.L. T. URBANISMO,0,0,0,10175.47
0,151,15000,PRODUCT. FUNC. URBANISMO,59512.92,0,59512.92,45143.3
0,151,15001,PRODUCTIVIDAD LABORALES URBANISMO,0,0,0,34779.5
0,151,15100,GRATIFICACIONES F. URBANISMO,0,0,0,0
0,151,15101,GRATIFICACIONES L.F. URBANISMO,0,0,0,0
0,151,15301,DEDICACION LAB. URBANISMO,50984.52,0,50984.52,15423.26
0,151,202,ARRENDA.EDIF.Y OTR.CONSTRUCC. URBANISMO,25000,0,25000,120124.49
0,151,203,ARRENDA.MAQ.INSTA.UTILL. URBANISMO,1500,0,1500,4043.14
0,151,205,ARRENDAMIENTOS DE MOBILIARIO Y ENSERES,0,0,0,0
0,151,209,CANON PARKING DISUASORIO,341600,0,341600,340958
0,151,210,INFRAS. Y BIENES NATU. URBANISMO,0,0,0,4927.56
0,151,212,EDIFIC. Y OTRAS CONSTRUC. URBANISMO,0,0,0,18824.88
0,151,213,MAQ.INST.Y UTILL.URBANISMO,2000,0,2000,4637.1
0,151,215,MOBILIARIO URBANISMO,300,0,300,0
0,151,22001,"PRENSA, LIB.Y OTR.PUBL.URBANISMO",2000,0,2000,0
0,151,22003,MAT.TEC.ESP.NO.INV.URBANISMO,1000,0,1000,324.58
0,151,22101,AGUA URBANISMO,192000,0,192000,280447.27
0,151,22102,GAS URBANISMO,3000,0,3000,1594.03
0,151,225,TRIBUTOS URBANISMO,2500,0,2500,0
0,151,22601,ATENC.PROTO.Y REPRESEN. URBANISMO,1000,0,1000,216.68
0,151,22602,PUBLICIDAD Y PROPAGANDA URBANISMO,0,0,0,0
