#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
33003,TASA POR ESTACIONAMIENTO ZONA SER,7982.2,0,7982.2,0
34902,OTROS PRECIOS PUBLICOS,0,0,0,280
42001,OTRAS TRANSFERENCIAS,0,0,0,-20981.36
53410,De soc y entidades no dependientes de las entidades locales.,0,0,0,0
77000,TRANSFERENCIA CAPITAL EMPRESAS  Y ENTIDADES  PRIVADAS,0,1691.3,1691.3,2268.32
91100,PRESTAMO RDL 8/2013,0,0,0,17215450.41
11200,DE NATURALEZA RUSTICA,71000,0,71000,63059.57
11300,DE NATURALEZA URBANA,17650000,0,17650000,16835555.36
11500,IMPUESTO VEHICULOS DE TRACCION MECANICA,3600000,0,3600000,3502927.93
11601,IMPUESTO INCREM.VALOR TERRENOS NAT.URBANA,1250000,0,1250000,1224814.63
11600,INSPECCION PLUS VALIAS,55000,0,55000,0
13001,IMPUESTOS SOBRE ACTIVIDADES ECONOMICAS,2550000,0,2550000,2080512.64
13000,INSPECCION I.A.E.,350000,0,350000,484821.99
29002,IMPUESTO CONSTRUC.INSTALACIONES Y OBRAS,0,0,0,0
29000,IMPTO.S/CONSTRUCCIONES Y OBRAS,824000,0,824000,553620.37
29001,INSPECCION I.C.I.O.,125000,0,125000,50337.32
30100,TASA POR DEPURACION DE AGUAS,0,0,0,13191.53
30200,TASA SERVICIO INTEGRAL RESIDUOS Y P.VERDE,3600000,0,3600000,3520819.54
30500,SERVICIOS FUNERARIOS,300000,0,300000,106406.84
31100,TASA SERVICIO AMBULANCIA MUNICIPAL,18500,0,18500,29683.45
31108,SERVICIO DE AYUDA A DOMICILIO,90000,0,90000,44598.53
31301,TASA POR DERECHOS DE FUTBOL,18000,0,18000,7572.6
31304,INSTALACIONES DEPORTIVAS,250000,0,250000,219685.32
31407,TASA SERVICIO SANITARIO DE PERRERA MUNICIPAL,9500,0,9500,7747.65
32100,LICENCIAS URBANISTICAS,206000,0,206000,183844.62
32104,LICENCIA APERTURA ESTABLECIMIENTOS,460000,0,460000,396902.18
32105,"INSPECCION L.URB.,APERTURA Y OCUPACION",25000,0,25000,0
32106,TASA POR INSPECCION TECNICA DE DIFICIOS,130000,0,130000,2807.22
32200,LICENCIAS PRIMERA OCUPACION,30000,0,30000,25991.71
32300,INSPECCION TECNICA LICENCIA DE APERTURA,0,0,0,21459.67
32500,EXPEDICION DE DOCUMENTOS,26000,0,26000,30519.83
32501,LICENCIAS AUTOTAXIS Y VEHICULOS ALQUILER,0,0,0,0
32509,TASA POR DERECHOS DE EXAMEN,0,0,0,-401.8
32600,RETIRADA VEHICULOS VIA PUBLICA (GRUA),115495,0,115495,24551.28
32700,TASA PRE. SERVI. BODAS.,25000,0,25000,40262.92
