#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
0,011,31000,INTERESES DE PRESTAMOS DEUDA PUBLICA.,4580964.33,-3550000,1030964.33,515762.79
0,011,31100,"GASTOS DE FORMALIZACION, MODIFICACION Y CANCELACION",0,0,0,0
0,011,91000,AMORT DE PRESTAMOS A C/P,4360427.06,0,4360427.06,0
0,011,91100,AMORT DE PRESTAMOS A L/P DE ENTES DEL SECTOR PUBLICO,0,3550000,3550000,6059310.83
0,011,91200,AMORTIZA.PRESTAMO A C/P DE ENTES DE FUERA DEL SECTOR PUBLICO,3078061.78,0,3078061.78,0
0,011,91300,AMORT DE PREST A L/P DE ENTES DE FUERA DEL SECTOR PUBLICO,0,0,0,194528.57
0,130,240,GASTOS DE EDICION Y DISTRIBUCION SEGURIDAD,0,0,0,0
0,130,481,PREMIOS BECAS Y PENS.DE ESTU. SEGURIDAD,0,0,0,0
0,130,12000,SUELDOS GRUPO A1 SEGURIDAD,0,0,0,0
0,130,12001,SUELDOS GRUPO A2 SEGURIDAD,12906.52,0,12906.52,1937.14
0,130,12002,SUELDOS GRUPO B SEGURIDAD,0,0,0,0
0,130,12003,SUELDOS GRUPO C1 SEGURIDAD,39539.36,-21000,18539.36,4363.38
0,130,12004,SUELDOS GRUPO C2 SEGURIDAD,787586.52,0,787586.52,104479.05
0,130,12005,SUELDOS GRUPO E SEGURIDAD,0,0,0,0
0,130,12006,TRIENIOS FUNC. SEGURIDAD,125351.56,0,125351.56,20017.93
0,130,12100,COMPLEM.DESTINO SEGURIDAD,503500.2,0,503500.2,66000.75
0,130,12101,COMPLEM. ESPECIFICO SEGURIDAD,1466524.22,0,1466524.22,192203.97
0,130,12103,OTROS COMPLEM.FUNC. SEGURIDAD,130132.92,0,130132.92,15863.92
0,130,12200,RETRIBUCIONES EN ESPECIE SEGURIDAD,439,0,439,0
0,130,13000,R.B. L.F. SEGURIDAD,226110.54,0,226110.54,74350.29
0,130,13001,HORAS EXTRAS L.F. SEGURIDAD,0,0,0,0
0,130,13002,O.R. L.F. SEGURIDAD,4692,0,4692,2346
0,130,15000,PRODUCT. FUNC.SEGURIDAD,502399.56,0,502399.56,76715.07
0,130,15100,GRATIFICACIONES F. SEGURIDAD,0,0,0,0
0,130,15101,GRATIFICACIONES L.F. SEGURIDA,0,0,0,0
0,130,15300,DEDICACION FUNC. SEGURIDAD,0,0,0,0
0,130,15301,DEDICACION LAB. SEGURIDAD,0,0,0,0
0,130,20400,ARRENDA.  MATERIAL DE TRANSPORTE SEGURIDAD,20000,0,20000,0
0,130,21200,EDIFI.  Y OTRAS  CONSTRUCC.  SEGURIDAD,2000,0,2000,0
0,130,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA. SEGURIDAD",3000,0,3000,672.65
0,130,21400,ELEMENTOS DE TRANSPORTE SEGURUDAD,2000,0,2000,66.6
0,130,21500,MOBILIARIO SEGURIDAD,2000,0,2000,0
0,130,22000,MAT.  OFICINA SEGURIDAD,500,0,500,0
0,130,22001,PRENSA LI. Y O. PUBLI. SEGURIDAD,0,0,0,0
0,130,22002,MAT.INFOR.NO INVENTARIABLE SEGURIDAD,500,0,500,0
0,130,22003,MAT. TEC. ESPE. NO INVENTARIABLE SEGURIDAD,9000,0,9000,4312.44
0,130,22100,ENERGIA ELECTRICA SEGURIDAD,0,0,0,0
0,130,22101,AGUA SEGURIDAD,2000,0,2000,1301.8
0,130,22102,GAS SEGURIDAD,0,0,0,0
0,130,22104,VESTUARIO SEGURIDAD,48500,0,48500,36234.06
0,130,22105,PRODUCTOS ALIMENTICIOS,0,0,0,0
0,130,22199,OTROS SUMINISTROS SEGURIDAD,0,0,0,0
0,130,22500,TRIBUTOS ESTATALES SEGURIDAD,1500,0,1500,548.27
0,130,22601,ATENC. PROTO Y REPRE. SEGURIDAD,3000,0,3000,0
0,130,22606,"REUNIONES, CONFERENCIAS Y CURSOS SEGURIDAD",6000,0,6000,0
0,130,22701,SEGURIDAD SEGURIDAD,12000,0,12000,0
0,130,22706,ESTUD. Y TRABA. TECN. SEGURIDAD,5000,0,5000,206.14
0,130,23010,DIETAS DEL PERSONAL DIRECTIVO SEGURIDAD,500,0,500,0
